i_type,incident_with,date,details,riding_on,terrain,direction,turning,age,sex,longitude,latitude,X,Y
Near collision with moving object or vehicle,"Vehicle, angle",2016-09-02T08:50:00,"Nearly hit by a right turning car making an illegal turn while going straight.Video available: https://www.youtube.com/watch?v=G2sBmgVsPFw",Cycle track,Downhill,NE,Heading straight,1989,M,-123.1200966,49.2837656,491265.841,5459008.455
Near collision with moving object or vehicle,"Vehicle, head on",2016-09-08T14:15:00,Car nearly hit me as it was turning right at the intersection and I was proceeding straight. Right hook.,"Busy street, no bike facilities",Flat,S,Heading straight,1987,M,-123.0656451,49.27665455,495225.2012,5458213.048
Near collision with moving object or vehicle,"Vehicle, side",2016-08-27T16:45:00,The light was green for me. The car turned right with red light and did not see me. I stopped in time.,,,,,,,-123.1457305,49.26800757,489398.2132,5457259.906
Near collision with moving object or vehicle,Pedestrian,2016-09-08T07:35:00,Cars parked on street and pedestrian came past parked car and collision almost occurred,,,,,,,-123.1068277,49.26211605,492227.4346,5456600.215
Near collision with moving object or vehicle,"Vehicle, side",2016-09-08T08:50:00,"Passed extremely closely (15cm?) by the same Maserati, twice in three blocks","Busy street, no bike facilities",Downhill,N,Heading straight,1975,F,-123.0891512,49.26068422,493513.353,5456439.371
Near collision with moving object or vehicle,Another cyclist,2016-09-13T20:15:00,,,,,,,,-123.0338931,49.26075421,497533.9394,5456443.879
Near collision with moving object or vehicle,"Vehicle, side",2016-09-11T11:15:00,,,,,,,,-123.0790615,49.27770273,494249.4596,5458330.508
Near collision with moving object or vehicle,"Vehicle, rear end",2016-09-15T18:45:00,Cars were using the new buffered bike lane to pass somebody turning left. I yelled at a driver to get him to notice me as he cut into the bike lane. I fingered him abd he accelerated aggressively at me.,Busy street bike lane,Flat,SE,Heading straight,1982,M,-123.1735575,49.2281955,487363.6619,5452838.274
Near collision with moving object or vehicle,"Vehicle, side",2016-10-25T09:45:00,A driver for a courier company (there was a Vancity Couriers sign on the door) cut me off and brake checked me.,Quiet street bike lane,Uphill,W,Heading straight,1982,M,-123.1230658,49.26237861,491046.0322,5456631.2
Near collision with moving object or vehicle,"Vehicle, side",2016-09-26T09:30:00,"A pick-up truck travelling east on 18th Ave. only paused at the stop sign and turned left, NB, onto Slocan, failing to yield to me. I emergency braked to avoid a collision and nearly hit the right side of his truck.","Quiet street, no bike facilities",Downhill,N,Heading straight,1987,M,-123.0496538,49.25409503,496386.7086,5455704.21
Near collision with moving object or vehicle,"Vehicle, side",2016-09-27T17:10:00,"Right-turning car didn't look at all for traffic already in the traffic circle, nearly t-boned me as I was passing through straight. I was in the traffic circle well in advance of the other vehicle.","Busy street, no bike facilities",Flat,E,Heading straight,1974,M,-123.1877232,49.26527719,486342.5255,5456963.107
Near collision with moving object or vehicle,"Vehicle, side",2016-09-29T09:40:00,"On green light, silver Acura, small SUV 558 HDK was also heading southbound turning right to go westbound on Broadway came up around me, nearly right-hooking me had I not stopped.  Furthermore there were pedestrians crossing north south the driver also cut off.",Quiet street bike lane,Uphill,S,Heading straight,1984,F,-123.1199062,49.26331507,491276.085,5456734.937
Near collision with moving object or vehicle,"Vehicle, head on",2016-09-29T10:00:00,"A vehicle was stopped in the alleyway eastbound right at the intersection.  That forced another vehicle travelling eastbound to take up the left side of the alleyway.  I was turning from Cambie into the alleyway, facing this second vehicle head on.",Quiet street bike lane,Downhill,S,Turning right,1984,F,-123.1172106,49.20953205,491462.9438,5450755.582
Near collision with moving object or vehicle,"Vehicle, rear end",2016-10-01T19:30:00,"I was going East on the 10th Avenue Bikeway and someone in a car aggressively raced behind me causing me to go much faster than I wanted to. There were parked cars on both sides of the street with no gaps to escape.It should not be possible to go through it by car. It's a bike way.","Quiet street, no bike facilities",Uphill,E,Heading straight,1961,M,-123.092494,49.26158042,493270.2538,5456539.294
Near collision with moving object or vehicle,"Vehicle, side",2016-10-12T09:00:00,A large container truck went through a red light as I was crossing. It was unnerving as there were several vehicles in the other lanes that had all stopped. The truck driver was in the centre lane and didn't even slow down.,Quiet street bike lane,Uphill,W,Heading straight,1982,M,-123.0762506,49.24455983,494450.1992,5454645.793
Near collision with moving object or vehicle,Another cyclist,2016-10-17T08:40:00,"Entered the Science World parking lot from National Avenue, into what could be called a ""T-intersection"" within the parking lot,  about to turn south into the parking area when a bicycle heading north passed through without stopping, disregarding the painted ""STOP"" with stop line on the pavement.","Quiet street, no bike facilities",Flat,W,Turning left,1961,M,-123.1021821,49.27499388,492567.3725,5458031.381
Near collision with moving object or vehicle,"Vehicle, side",2016-10-21T13:30:00,,Quiet street bike lane,Flat,E,Turning left,,,-123.0792332,49.27728276,494236.9249,5458283.833
Near collision with moving object or vehicle,"Vehicle, side",2016-10-20T09:35:00,"Car was driving through yellow light, realized they cannot turn right onto Granville",,,,,,,-123.1163657,49.28366937,491537.1621,5458997.333
Near collision with moving object or vehicle,"Vehicle, side",2016-09-22T07:20:00,"Bus driver cut off cyclist, and said well you were on the road. There's no bike lane there",,,,,,,-123.0703068,49.28390732,494886.8766,5459019.648
Near collision with moving object or vehicle,"Vehicle, angle",2016-10-24T07:30:00,Swerved into down lane with oncoming car & bike but everyone missed each other,Quiet street bike lane,Uphill,S,Heading straight,,M,-123.1050897,49.25888119,492353.3933,5456240.417
Near collision with moving object or vehicle,Animal,2016-10-25T16:30:00,"Person with dog on leash had the leash extended and the dog ran across bike path, so I had to stop quickly.",Cycle track,Flat,E,Heading straight,1958,M,-123.1194448,49.27310389,491311.3695,5457823.111
Near collision with moving object or vehicle,"Vehicle, head on",2016-10-25T18:20:00,I was heading West on 10th bike route and making a left turn into Cranberry Drive. Vehicle was turning left into 10th Avenue from Cranberry Drive. Driver eyes was looking right only and proceeded to move onto 10th Avenue. Only at the last minute did she turn to look in front and stopped within one foot off me.,"Quiet street, no bike facilities",Flat,W,Turning left,1953,M,-123.1537879,49.26285822,488810.8824,5456688.612
Near collision with moving object or vehicle,"Vehicle, head on",2016-10-26T21:25:00,I was crossing Clark in bike cross and motorist failed to see me as she turned south. I had to break to avoid a collision.,Quiet street bike lane,Downhill,W,Heading straight,1958,M,-123.0773985,49.26504265,494368.975,5456922.956
Near collision with moving object or vehicle,"Vehicle, side",2016-10-25T20:40:00,I was signalling Left and about to move over in order to turn left at the intersection of 10th and Main and the car behind me tried to overtake me before the intersection. ,"Busy street, no bike facilities",Flat,W,Turning left,1990,Other,-123.1007163,49.2620189,492672.0739,5456588.804
Near collision with moving object or vehicle,"Vehicle, head on",2016-10-28T06:40:00,"Large truck after doing roundabout came west in what could only fit 1 way traffic, and straight down middle where I already was. Left no room I had to stop and press against parked car. It was like they didn't see me but my bike is like a Christmas tree so that simply isn't possible","Busy street, no bike facilities",Uphill,E,Heading straight,1972,M,-123.0911209,49.26156609,493370.1606,5456537.579
Near collision with moving object or vehicle,"Vehicle, head on",2016-10-27T16:05:00,"Headed West on York entering intersection, no stop sign for me. Biker right in front of me. Car headed North on Arbutus runs stops sign, sees first biker, hits brakes, biker passes, car starts moving, I slam brakes, skid and fall. Lucky to not have fallen in car's path, as car never stopped for me.",Quiet street bike lane,Flat,W,Heading straight,1990,,-123.1526238,49.27164785,488897.5494,5457665.587
Near collision with stationary object or vehicle,"Vehicle, open door",2016-10-27T15:45:00, Ca r car door was flung open to its full as i arrived at the car.   It was pouring rain and i had a line of cars on my left and a line of parked cars on my right.  I narrowly managed to dodge the suddenly opening door.    I had very little space to manoeuvre due to the traffic.       ,"Busy street, no bike facilities",Flat,E,Heading straight,1956,M,-123.1453657,49.25716215,489422.4329,5456054.166
Near collision with stationary object or vehicle,Another cyclist,2016-10-31T17:30:00,Cyclist blew straight through 4-way stop sign without stopping nor slowing down.  He violated 4-way stop procedure as another vehicle in the middle of the intersection was forced to slam the brakes to avoid collison.  Cyclist swerved around pedestrian already in crosswalk but did not otherwise stop.,,,S,,,,-123.1199116,49.2623401,491275.5229,5456626.55
Near collision with moving object or vehicle,"Vehicle, side",2016-10-09T00:00:00,"Driver of black SUV heading west on 10th. Blasts his horn and speeds up as we're crossing, then turns aggressively onto Balaclava, stops in the middle of the road, jumps out of his vehicle, and confronts us, saying ""You're not a pedestrian!""","Quiet street, no bike facilities",Flat,N,Heading straight,,,-123.1740211,49.26327481,487338.8828,5456738.116
Near collision with moving object or vehicle,"Vehicle, side",2016-11-02T09:30:00,"Minivan didn't observe stop sign, as I went through intersection on 10th Ave (no stop sign).  I was doing approx. 20kph.",Quiet street bike lane,Flat,W,Heading straight,1963,M,-123.1538522,49.26289673,488806.2075,5456692.902
Near collision with stationary object or vehicle,"Vehicle, angle",2016-11-01T08:25:00,,"Quiet street, no bike facilities",Downhill,E,Heading straight,,,-123.1644416,49.27187536,488037.9308,5457692.683
Near collision with moving object or vehicle,Another cyclist,2016-11-08T18:15:00,"Light just turned red for us. Stopped at light, looked left and bike path was clear. Slowly turned right into bike lane and cyclist blew past us screaming with no lights. ",Busy street bike lane,Uphill,E,Turning right,1988,F,-123.1313404,49.27629407,490446.6789,5458179.201
Near collision with stationary object or vehicle,Pedestrian,2016-11-08T07:55:00,"Headed east on shared pathway on Great northern way. Group of construction workers walking the opposite direction taking up entire path and didn't bother giving way for oncoming traffic, had to slam my brakes to avoid hitting them. Got yelled at for no good reason",Mixed use trail,Downhill,E,Heading straight,,,-123.0902302,49.26676842,493435.6521,5457115.846
Near collision with moving object or vehicle,"Vehicle, side",2016-11-09T07:10:00,"I stopped at four way stop when westbound on 1st at Wylie, started to make my left turn, waiting for car to cross intersection, as I was about to proceed, 2nd car when through stop sign without stopping. I hit the brakes to avoid him running into me. ",Quiet street bike lane,Flat,S,Turning left,1958,M,-123.1139088,49.26829461,491713.2682,5457287.839
Near collision with moving object or vehicle,Another cyclist,2016-11-14T14:30:00,"There is typically just enough room for one cyclist between the parked cars and the traffic lane. Traffic was heavy and the parking lane was full when another cyclist passed me (illegally). Our handlebars passed within 6"" of each other. If we'd touched, a serious crash was probable. STUPID!","Busy street, no bike facilities",Downhill,SW,Heading straight,1956,M,-123.1409374,49.28785259,489751.0211,5459465.427
Near collision with moving object or vehicle,Another cyclist,2016-08-01T12:00:00,"Tourists on a 2-seat bike came around the corner on the wrong side of the bike path. It wasn't obvious that they were on my side because of the short hedge blocking my view. Once I realized that they were on my side, I had no time to stop and turned into the hedge to avoid a collision.",Cycle track,Flat,W,Turning right,,,-123.1306779,49.27232688,490494.1053,5457738.082
Near collision with moving object or vehicle,"Vehicle, side",2016-11-18T19:50:00,Riding east through Hemlock on 10th a vehicle very nearly turned left into me in the intersection. I was already 2/3 of the way through & he only stopped when he was less than a metre from me.,"Quiet street, no bike facilities",Flat,E,Heading straight,1975,F,-123.1360948,49.26258454,490098.1208,5456655.718
Near collision with moving object or vehicle,"Vehicle, side",2016-11-22T20:10:00,Car failed to stop at it's stop sign heading S on Lakeview Dr. Almost collided with Cyclist (Me) heading W,"Quiet street, no bike facilities",Flat,W,Heading straight,1988,M,-123.0620322,49.26068945,495486.5376,5456437.978
Near collision with moving object or vehicle,"Vehicle, angle",2016-11-14T14:50:00,I was crossing the intersection in the bike lane. A vehicle aggressively cut me off. I was forced to break quickly and my tire slipped on the wet leaves.,Busy street bike lane,Flat,S,Heading straight,1987,M,-123.1043849,49.28054801,492407.9975,5458649.056
Near collision with moving object or vehicle,Pedestrian,2016-11-15T16:15:00,"Light turned amber as I entered the intersection and as soon as it did, 5 pedestrians stepped out across my path. I yelled and braked and was able to stop in time.",Cycle track,Downhill,E,Heading straight,1958,M,-123.1105439,49.27984538,491959.9333,5458571.581
Near collision with moving object or vehicle,"Vehicle, side",2016-11-18T17:35:00,Car pulled out of alley without stopping or looking. Yelled at them and braked hard and was able to stop in time.,"Quiet street, no bike facilities",Flat,S,Heading straight,1958,M,-123.1027508,49.26871465,492525.0624,5457333.372
Near collision with moving object or vehicle,"Vehicle, side",2016-11-18T17:40:00,"Stopped at 4 way stop, car on my right proceeded, then I proceeded and the next car on my right ran the stop sign. I yelled and braked, avoiding a collision.","Quiet street, no bike facilities",Uphill,S,Heading straight,1958,M,-123.1048536,49.2647521,492371.4728,5456893.063
Near collision with moving object or vehicle,"Vehicle, side",2016-11-29T09:45:00,"A westbound driver blew through the stop sign, nearly hitting me as I was already into the intersection. He looked at me as he sailed past & appeared not to brake at all.","Quiet street, no bike facilities",Flat,N,Heading straight,1975,F,-123.0937707,49.25470164,493176.4122,5455774.692
Near collision with moving object or vehicle,"Vehicle, side",2016-12-02T06:10:00,Vehicle heading same direction as me passed me while vehicles also parked on both sides of the street. I was out approx. 1 m from cars parked on my right. Vehicle passed me on my left with maybe 50 cm between my bike and his side-view mirror. Vehicle hardly slowed speed at all.,"Quiet street, no bike facilities",Uphill,N,Heading straight,1981,M,-123.1478763,49.22913785,489233.6616,5452939.061
Near collision with moving object or vehicle,"Vehicle, side",2016-11-28T15:00:00,"The truck didn't stop at the Stop sign at the intersection. Breaking and turning my bike sidewise, I managed to avoid getting under the truck's rare wheel.","Quiet street, no bike facilities",Downhill,N,Heading straight,1988,M,-123.1047182,49.26736525,492381.7298,5457183.555
Near collision with moving object or vehicle,"Vehicle, side",2016-11-29T09:05:00,"As I was 1-2 car lengths behind the parked cars, I realized that a silver car was very close (about one foot away) to my left elbow and was not giving me enough room to avoid the Òdoor zoneÓ.  I ended up between the silver car and the parked cars, in a space of about 4Õ.  ",Quiet street bike lane,Flat,W,Heading straight,1963,M,-123.1395668,49.26266918,489845.5235,5456665.588
Near collision with moving object or vehicle,"Vehicle, side",2017-01-10T08:45:00,Car tried to pass me in single lane. Was unable to get by in time and swerved and almost hit me,Quiet street bike lane,Flat,W,Heading straight,,,-123.210597,49.26562725,484678.4854,5457006.408
Near collision with moving object or vehicle,"Vehicle, side",2017-01-18T20:50:00,"After waiting for green light I entered intersection in marked bike lane. Oncoming left turning vehicles waited until I was clear. When I was 3/4 way across, southbound car mad right turn on red. My air horn had no effect on making them stop. My evasive manoeuvre prevented a collision. I had bike mounted blinking headlight and helmet mounted bright steady one",Busy street bike lane,Uphill,W,Heading straight,1963,M,-123.0238509,49.25063554,498264.2538,5455318.705
Near collision with moving object or vehicle,"Vehicle, angle",2017-01-19T08:55:00,"Parked car pulled out in front of me, as I was about to pass it.  Had to hit brakes hard, to avoid a collision.",Quiet street bike lane,Uphill,W,Heading straight,1963,M,-123.115958,49.2623436,491563.1761,5456626.491
Near collision with moving object or vehicle,"Vehicle, side",2017-01-18T08:20:00,Eastbound car was speeding. Intersection is very wide.,"Quiet street, no bike facilities",Flat,,Turning left,,,-123.0980515,49.27180186,492867.3681,5457676.125
Near collision with moving object or vehicle,"Vehicle, angle",2017-01-11T08:10:00,"It is difficult to see oncoming traffic from the position at the stop sign. Eastbound vehicles drive quickly, sight lines are limited, and it is difficult to pick up speed to make a left turn from a stopped position.","Quiet street, no bike facilities",Flat,,Turning left,,,-123.0980408,49.27180536,492868.1491,5457676.513
Near collision with moving object or vehicle,"Vehicle, side",2017-01-19T14:30:00,"There is limited room for stopped cyclists and right turning cars to wait for the light to change. When the light turns green, right turning cars block off bikes going straight.",,,,,,,-123.0999532,49.27271145,492729.1661,5457777.425
Near collision with moving object or vehicle,"Vehicle, rear end",2017-01-30T09:30:00,"I witnessed this incident.At the top of the Heather St. hill, I heard yelling behind me. I stopped and looked back. A man rode down the hill towards me, I asked if he was OK, and he complained that a car stopped suddenly in front of him. Then he tore off down the hill. ",Quiet street bike lane,Downhill,N,Heading straight,1982,M,-123.1203032,49.24968309,491244.7924,5455219.513
Near collision with stationary object or vehicle,"Vehicle, open door",2017-01-26T15:50:00,"Heading east on Robson  between Homer and Hamilton. As I was about to ride past the clueless, inattentive, offending driver, the driver side door flies open. I  typically ride about a metre away from parked cars to prevent getting ""doored"". ","Busy street, no bike facilities",Downhill,E,Heading straight,1965,M,-123.1164461,49.27914809,491530.5359,5458494.707
Near collision with moving object or vehicle,"Vehicle, side",2017-01-30T11:30:00,The driver did not stop at  a stop sign as I presume she did not see me coming. I had to take evasive action to avoid a collision. ,Quiet street bike lane,Flat,E,Heading straight,,,-123.15485,49.23833628,488728.0218,5453962.664
Near collision with moving object or vehicle,"Vehicle, side",2017-01-30T11:35:00,The driver was edging out of the stop sign and only saw me at the last minute. I had to brake pre-emitively just in case the driver had not seen me,Quiet street bike lane,Downhill,E,Heading straight,,,-123.1346798,49.23793349,490196.1895,5453915.075
Near collision with moving object or vehicle,"Vehicle, side",2017-01-30T13:50:00,The driver was at a stop sign and had indicators to turn right (east). I was heading west and could see the car ahead of me when all of a sudden the driver decided to turn left (west) and nearly side swiped me. ,Quiet street bike lane,Uphill,W,Heading straight,,,-123.1323141,49.23787395,490368.386,5453908.152
Near collision with moving object or vehicle,"Vehicle, side",2017-02-01T05:25:00,West bound on Smithe approaching Cambie.  Taxi van failed to yield to bikes in the shared lane and right hooks me! Taxi driver needs to learn how to be a professional driver.,Busy street cycle track,Uphill,W,Heading straight,1965,M,-123.1164622,49.27710252,491529.015,5458267.303
Near collision with moving object or vehicle,"Vehicle, side",2017-02-10T09:00:00,"Driver at north stop sign drove in front of me, southbound. I rang my loud bell before reaching the intersection to let her know I was coming but she never even reacted. Just drove right through in front of me without looking to see if there was traffic at all.","Quiet street, no bike facilities",Flat,E,Heading straight,1975,F,-123.1243751,49.25870454,490950.101,5456222.909
Near collision with moving object or vehicle,"Vehicle, side",2017-01-18T15:10:00,"Driver failed to yield to me at intersection. He rolled (southbound) through a stop sign right in front of me, I had to hit my brakes. It's a two way stop but drivers often blow through it, totally ignoring bike traffic on 14th.","Quiet street, no bike facilities",Flat,E,Heading straight,1975,F,-123.1243914,49.2587079,490948.9146,5456223.284
Near collision with moving object or vehicle,"Vehicle, side",2017-02-14T09:20:00,A big service truck came out of the parking lot and drove right at me! Had to swerve and brake to avoid. A car in the other direction had the same problem. The truck had a sign for Spicers paper products.,Quiet street bike lane,Flat,W,Heading straight,,,-123.1231356,49.26237161,491040.957,5456630.43
Near collision with moving object or vehicle,"Vehicle, side",2017-02-16T08:50:00,Aggressive female Lexus driver tried to pass me IN the traffic circle.,"Quiet street, no bike facilities",Uphill,W,Heading straight,1975,F,-123.1111025,49.25867003,491915.8483,5456217.568
Near collision with moving object or vehicle,"Vehicle, head on",2017-02-21T09:10:00,Westbound (oncoming) vehicle passed me very closely (15-30 cm) after turning very fast onto 14th from Ontario.,"Quiet street, no bike facilities",Uphill,E,Heading straight,1975,F,-123.1057363,49.25847157,492306.2778,5456194.945
Near collision with moving object or vehicle,"Vehicle, side",2017-02-21T00:00:00,"After having to follow me at bike-speed for 1.5 blocks, an aggressive driver intentionally swerved at me when I finally had space to move over for them.  This was preceded by this vehicle dangerously accelerating at me from behind a couple of times as attempts to intimidate me.  ",Quiet street bike lane,Flat,W,Heading straight,1983,F,-123.1250292,49.25872714,490902.5106,5456225.5
Near collision with moving object or vehicle,"Vehicle, side",2017-02-23T09:15:00,Northbound van rolled through stop sign & nearly hit me as I was travelling through the intersection eastbound.,"Quiet street, no bike facilities",Flat,E,Heading straight,1975,F,-123.1031837,49.25841744,492492.0064,5456188.671
Near collision with stationary object or vehicle,"Vehicle, rear end",2017-02-23T09:10:00,"While I was waiting about a metre from the right curb to cross Cambie, a driver behind me tried to go around me to turn right & go south on Cambie. She came within a few cm of me before stopping.","Quiet street, no bike facilities",Flat,E,Heading straight,1975,F,-123.1152302,49.25874194,491615.5136,5456226.012
Near collision with moving object or vehicle,"Vehicle, side",2017-01-21T10:30:00,,Quiet street bike lane,Flat,N,Heading straight,,,-123.0741477,49.27761873,494606.8563,5458320.809
Near collision with moving object or vehicle,"Vehicle, side",2017-02-28T09:10:00,Southbound driver on Manitoba rolled through the stop sign & nearly hit me as I was riding east through the intersection.,"Quiet street, no bike facilities",Flat,E,Heading straight,1975,F,-123.1070218,49.25849606,492212.7467,5456197.799
Near collision with moving object or vehicle,"Vehicle, head on",2017-03-14T11:45:00,I was biking northbound in my lane when a car in the opposing lane pulled into my lane to pass a right turning vehicle on the north side of the intersection.,,,,,,,-123.0741692,49.27677879,494605.204,5458227.434
Near collision with moving object or vehicle,"Vehicle, side",2017-03-15T17:15:00,"During evening rush hour, cars line up in painted bike lane in anticipation of turning right on Smithe. I was almost hit by a car suddenly veering into the bike lane. This dangerous situation occurs daily, and will continue until a barrier is constructed preventing cars from entering the bike lane.",Busy street bike lane,Flat,SW,Heading straight,1981,M,-123.1138819,49.27650056,491716.5935,5458200.096
Near collision with moving object or vehicle,"Vehicle, side",2017-03-17T17:30:00,"Traffic backed up on Boundary. Red light for them, walk signal for me. I started to cross Boundary (E to W). After passing 1st lane, I peeked into next lane. Car sped past & would've hit me if I were an inch further. Driver was staring at phone in lap. I banged on rear window. He sped up. ","Busy street, no bike facilities",Flat,W,Heading straight,1976,F,-123.0235103,49.22924995,498288.3049,5452941.263
Near collision with moving object or vehicle,Other,2017-03-23T18:15:00,"Vehicle came up from behind me close, honking to get out of the way. I pulled to the side and it sped past me. The roadway is very narrow with two-sided auto parking. Car should not have approached so closely or tried to squeeze by.",Quiet street bike lane,Flat,E,Heading straight,1987,M,-123.0712509,49.26140538,494815.8559,5456518.16
Near collision with moving object or vehicle,"Vehicle, side",2017-03-23T18:35:00,"Vehicles exiting HWY 1 via the right-turn slip lane onto Hastings (EB) are not looking to their right for peds/cyclists. These vehicles are approaching at high speed to arc onto Hastings Street  and the view is obstructed, making near-misses common place here. Enhanced safety measures are needed.",Mixed use trail,Downhill,NW,Heading straight,1987,M,-123.0312324,49.2809381,497728.4624,5458687.649
Near collision with moving object or vehicle,"Vehicle, side",2017-03-28T10:30:00,"I was going west on the 29 bike route down the hill just past the school (no stop sign). A taxi driver was going south on Inverness, blew his stop sign, and he was going fast! I barely stopped in time (my rims were wet and there was little warning). He wasn't able to stop in time. Close one!",Quiet street bike lane,Downhill,W,Heading straight,1982,M,-123.0800486,49.2446684,494173.7788,5454658.148
Near collision with moving object or vehicle,"Vehicle, side",2017-04-04T09:20:00,"I have to take the lane to ride on this road (1/3 of the full lane) to avoid the countless potholes along this road. Multiple cars passed me way to close sending me back onto the uneven surface and gutter. No impacts or falls, ... at least not this time...","Busy street, no bike facilities",Flat,E,Heading straight,1986,F,-123.1216872,49.28788583,491150.9039,5459466.689
Near collision with moving object or vehicle,"Vehicle, side",2017-04-04T16:45:00,Riding on new Beatty St bike lane towards Cambie bridge. About to cross Robson St intersection when vehicle initially heading in the same direction turned right onto Robson St. I saw the driver was not shoulder checking at all.,Cycle track,Flat,SW,Heading straight,1983,M,-123.1139839,49.27764323,491709.3714,5458327.139
Near collision with moving object or vehicle,"Vehicle, side",2017-03-29T15:20:00,Northbound driver ran a stale red light as I was entering the intersection.,"Quiet street, no bike facilities",Flat,E,Heading straight,1975,F,-123.1009196,49.25467516,492656.1913,5455772.418
Near collision with moving object or vehicle,"Vehicle, side",2017-04-02T17:15:00,"Northbound Driver on Kingsway ran the red, which was so stale that it was about halfway through the light cycle. They went through in between another eastbound cyclist & us, seeming not to even see the light at all.",Quiet street bike lane,Downhill,E,Heading straight,1975,F,-123.0987053,49.26200613,492818.3903,5456587.191
Near collision with moving object or vehicle,"Vehicle, side",2017-04-02T17:15:00,"Northbound Driver on Kingsway ran the red, which was so stale that it was about halfway through the light cycle. They went through in between another eastbound cyclist & us, seeming not to even see the light at all.",Quiet street bike lane,Downhill,E,Heading straight,1975,F,-123.0987053,49.26200613,492818.3903,5456587.191
Near collision with moving object or vehicle,Pedestrian,2017-04-10T05:20:00,Dark and raining at the time. Pedestrian steps out in front of my path. Had to brake hard and swerve around him. I have a bright front light and helmet front lights.,"Quiet street, no bike facilities",Downhill,N,Heading straight,1965,M,-123.1109422,49.26389268,491928.3613,5456798.155
Near collision with moving object or vehicle,"Vehicle, side",2017-04-13T08:45:00,"Westbound  Driver passed me in the intersection & cut close in front of me just as we crossed Oak. Stupidly, I had to stop & wait behind him twice in the next two blocks because of all the pedestrian & car traffic in the area for school dropoff at L'Ecole Bilingue. I finally passed him when he double parked to let his kids out in the middle of 14th Ave.","Quiet street, no bike facilities",Flat,W,Heading straight,1975,F,-123.1267606,49.25871708,490776.5295,5456224.591
Near collision with moving object or vehicle,"Vehicle, angle",2017-04-13T13:20:00,I was going down the steep part of the hill on Heather Street. A parked car pulled out right in front of me no signaling or other warning.,Quiet street bike lane,Downhill,N,Heading straight,,,-123.1203032,49.24964106,491244.785,5455214.841
Near collision with moving object or vehicle,"Vehicle, side",2017-04-22T19:35:00,"Vehicle in right turn lane ignored red right turn light and No Right on Red sign.  Vehicle had come to full stop at intersection, so I maintained speed approaching the green light.  As I came up beside vehicle, driver accelerated to make right turn and only stopped when I yelled and hit the brakes.",Busy street bike lane,Uphill,NW,Heading straight,1984,F,-123.1155637,49.27651106,491594.2706,5458201.449
Near collision with moving object or vehicle,"Vehicle, side",2017-04-22T22:30:00,One taxi was stopped next to the bike lane and another taxi behind it suddenly pulled into the bike lane as I was approaching to get around first taxi to make right turn onto Mainland.  Had to brake hard to avoid collision.,Busy street bike lane,Flat,SE,Heading straight,1984,F,-123.1190586,49.2766738,491340.0901,5458219.936
Near collision with moving object or vehicle,"Vehicle, angle",2017-04-11T20:50:00,Attempting to ride West on 22nd Ave bike route across Boundary Rd.  Light turned green as I approached from Burnaby side but was unable to proceed as 4 left turning vehicles cut across my path.  The third of them hiked their horn.  I came to a complete halt part way into the intersection.,Busy street bike lane,Uphill,W,Heading straight,1970,M,-123.0236149,49.25064954,498281.4317,5455320.257
Near collision with moving object or vehicle,"Vehicle, side",2017-04-21T16:25:00,Driver of BC licence plate DD7 52F black Volkswagon GTI overtook with only centimetres to spare. We were both in the left lane. The right lane was completely open.  I live in this block so ride in this block rather than diverting to Off-Broadway.,"Busy street, no bike facilities",Flat,E,Heading straight,1982,M,-123.2149047,49.26392244,484364.5552,5456817.766
Near collision with moving object or vehicle,"Vehicle, angle",2017-05-31T08:20:00,,,,,,,,-123.1449902,49.22689928,489443.3081,5452689.794
Near collision with moving object or vehicle,"Vehicle, side",2017-05-01T08:40:00,,,,,,,,-123.1152821,49.24516219,491609.4426,5454716.355
Near collision with stationary object or vehicle,"Vehicle, side",2017-05-02T10:00:00,"A car passed me which nearly crashed head-on into an oncoming car, then swerved hard right, almost hit me, and then almost hit a parked car.",Quiet street bike lane,Flat,W,Heading straight,,,-123.123318,49.26241712,491027.695,5456635.511
Near collision with moving object or vehicle,"Vehicle, side",2017-05-10T08:45:00,Westbound driver passed me extremely closely--about 20cm from my handlebars. They apparently couldn't wait until there was no oncoming traffic.,"Quiet street, no bike facilities",Flat,W,Heading straight,1975,F,-123.1160143,49.2587439,491558.4656,5456226.317
Near collision with moving object or vehicle,Pedestrian,2017-05-19T15:55:00,"South bound on Robson St., about to turn right onto Beatty St. A vehicle in front of me, signalling to turn left, stopped suddenly for two pedestrians in the crosswalk  directly in front of us. They appeared to be drunk and were crossing against the red traffic signal light.","Busy street, no bike facilities",Downhill,E,Turning right,1965,M,-123.1140214,49.27761873,491706.6361,5458324.419
Near collision with moving object or vehicle,"Vehicle, side",2017-05-28T20:45:00,"I turned left from the arbutus greenway onto burrard. I was attention was on people on the trail, and after the turn, I found myself alarmingly close to W6 ave, and a pickup crossing Burrard. ",Mixed use trail,Uphill,NW,Turning left,,,-123.1456393,49.26643237,489404.5103,5457084.777
Near collision with moving object or vehicle,Another cyclist,2017-05-28T15:45:00,"Every sunny day, this bike route intersection is super busy. I reported one incident here, but near misses at this junction are far too regular.",,Flat,SE,Turning left,,,-123.1065917,49.27579185,492246.7513,5458120.535
Near collision with moving object or vehicle,"Vehicle, head on",2017-05-31T15:20:00,I was unlocking my bike from the parking meter when I slipped backwards. The fast-moving car on Broadway almost took me out!,Sidewalk,Flat,,,1985,F,-123.1288576,49.2633957,490624.8311,5456744.973
